DATE,G_SA,G_MX,G_JP,G_BR
1997,2.600005278,7.066649614,1.012859299,3.726191333
1998,0.499998198,5.193758507,-1.31875538,0.35631327
1999,2.399998852,2.741316202,-0.245585564,0.467953723
2000,4.199999808,4.703730132,2.717282932,4.312999461
2001,2.700001748,-0.199266999,0.399144833,1.480549998
2002,3.700370938,-0.047683143,0.005420636,3.023759049
2003,2.949078004,1.466537765,1.576257148,1.168637166
2004,4.554560108,3.698571699,2.152744617,5.427755038
2005,5.277048592,2.506732246,1.824151137,3.644162143
2006,5.603806379,4.496472756,1.345428352,3.94734347
2007,5.3604743,2.280788333,1.477873749,5.929985004
2008,3.191044989,0.925857502,-1.246516689,4.784166579
2009,-1.538088512,-5.078684789,-5.676742876,0.169748902
2010,3.039735728,5.125654244,4.1020007,7.550883922
2011,3.16855519,3.671522961,0.036254964,4.112782853
2012,2.396233122,3.432934662,1.369982052,1.61345902
2013,2.485464045,1.580745908,2.041707706,3.192539376
2014,1.413828088,2.855821928,0.214027908,0.515919383
2015,1.321864288,3.313860741,1.595057252,-3.54216454
2016,0.664548253,2.395575885,0.723182943,-3.474545132
2017,1.157948788,2.335099328,1.705594858,1.627171549
2018,1.556784661,2.182872557,0.632124433,1.659589128
2019,0.259935762,-0.186300946,-0.394539071,1.217524154
2020,-5.963358465,-8.163879845,-4.292630414,-3.570839457
2021,4.703061248,4.942613723,2.316723756,5.330793573
2022,1.910406854,2.998357411,1.011382395,3.016426307
