DATE,GDP,PCE
1/1/1959,510.33,309.4666667
4/1/1959,522.653,315.5
7/1/1959,525.034,320.7333333
10/1/1959,528.6,322.8666667
1/1/1960,542.648,326.3666667
4/1/1960,541.08,332.2
7/1/1960,545.604,332.1333333
10/1/1960,540.197,334.0333333
1/1/1961,545.018,334.5333333
4/1/1961,555.545,339.4666667
7/1/1961,567.664,342.3666667
10/1/1961,580.612,349.6
1/1/1962,594.013,354.8666667
4/1/1962,600.366,360.4666667
7/1/1962,609.027,364.3666667
10/1/1962,612.28,370.6
1/1/1963,621.672,374.2666667
4/1/1963,629.752,378.4333333
7/1/1963,644.444,385.4
10/1/1963,653.938,390.0333333
1/1/1964,669.822,399.6
4/1/1964,678.674,407.5333333
7/1/1964,692.031,416.4
10/1/1964,697.319,419
1/1/1965,717.79,429.7
4/1/1965,730.191,436.6333333
7/1/1965,749.323,445.8
10/1/1965,771.857,459.7666667
1/1/1966,795.734,470.1333333
4/1/1966,804.981,475.1666667
7/1/1966,819.638,484.3333333
10/1/1966,833.302,490.0666667
1/1/1967,844.17,494.3333333
4/1/1967,848.983,503.4333333
7/1/1967,865.233,510.7
10/1/1967,881.439,518.2333333
1/1/1968,909.387,536.2666667
4/1/1968,934.344,550.0333333
7/1/1968,950.825,566.1333333
10/1/1968,968.03,574.9333333
1/1/1969,993.337,587.0333333
4/1/1969,1009.02,598.3666667
7/1/1969,1029.956,608.6
10/1/1969,1038.147,620.6
1/1/1970,1051.2,631.6666667
4/1/1970,1067.375,641.5666667
7/1/1970,1086.059,653.5
10/1/1970,1088.608,660.1666667
1/1/1971,1135.156,679.1666667
4/1/1971,1156.271,693.2333333
7/1/1971,1177.675,705.6
10/1/1971,1190.297,721.7
1/1/1972,1230.609,738.9666667
4/1/1972,1266.369,757.3666667
7/1/1972,1290.566,775.7666667
10/1/1972,1328.904,800.5
1/1/1973,1377.49,825.0333333
4/1/1973,1413.887,840.5333333
7/1/1973,1433.838,858.8666667
10/1/1973,1476.289,873.9
1/1/1974,1491.209,891.8666667
4/1/1974,1530.056,920.4
7/1/1974,1560.026,949.2666667
10/1/1974,1599.679,959.0666667
1/1/1975,1616.116,985.2
4/1/1975,1651.853,1013.566667
7/1/1975,1709.82,1047.2
10/1/1975,1761.831,1076.266667
1/1/1976,1820.487,1109.9
4/1/1976,1852.332,1129.533333
7/1/1976,1886.558,1158.8
10/1/1976,1934.273,1192.433333
1/1/1977,1988.648,1228.2
4/1/1977,2055.909,1256
7/1/1977,2118.473,1286.9
10/1/1977,2164.27,1324.8
1/1/1978,2202.76,1354.033333
4/1/1978,2331.633,1411.4
7/1/1978,2395.053,1442.233333
10/1/1978,2476.949,1481.333333
1/1/1979,2526.61,1517.133333
4/1/1979,2591.247,1557.633333
7/1/1979,2667.565,1611.866667
10/1/1979,2723.883,1655.066667
1/1/1980,2789.842,1702.3
4/1/1980,2797.352,1704.7
7/1/1980,2856.483,1763.8
10/1/1980,2985.557,1831.866667
1/1/1981,3124.206,1885.7
4/1/1981,3162.532,1917.566667
7/1/1981,3260.609,1958.066667
10/1/1981,3280.818,1974.433333
1/1/1982,3274.302,2014.133333
4/1/1982,3331.972,2039.633333
7/1/1982,3366.322,2085.633333
10/1/1982,3402.561,2145.566667
1/1/1983,3473.413,2184.6
4/1/1983,3578.848,2249.433333
7/1/1983,3689.179,2319.9
10/1/1983,3794.706,2372.5
1/1/1984,3908.054,2418.166667
4/1/1984,4009.601,2475.866667
7/1/1984,4084.25,2513.533333
10/1/1984,4148.551,2561.766667
1/1/1985,4230.168,2636.033333
4/1/1985,4294.887,2681.766667
7/1/1985,4386.773,2754.166667
10/1/1985,4444.094,2779.4
1/1/1986,4507.894,2823.633333
4/1/1986,4545.34,2851.466667
7/1/1986,4607.669,2917.2
10/1/1986,4657.627,2952.8
1/1/1987,4722.156,2983.5
4/1/1987,4806.16,3053.333333
7/1/1987,4884.555,3117.333333
10/1/1987,5007.994,3150.933333
1/1/1988,5073.372,3231.866667
4/1/1988,5190.036,3291.7
7/1/1988,5282.835,3361.9
10/1/1988,5399.509,3434.533333
1/1/1989,5511.253,3490.166667
4/1/1989,5612.463,3553.8
7/1/1989,5695.365,3609.4
