Id,Geography,Total; Estimate; Total population
1600000US0100100,"Abanda CDP, Alabama",174
1600000US0100124,"Abbeville city, Alabama",2594
1600000US0100460,"Adamsville city, Alabama",4404
1600000US0100484,"Addison town, Alabama",725
1600000US0100676,"Akron town, Alabama",318
1600000US0100820,"Alabaster city, Alabama",32567
1600000US0100988,"Albertville city, Alabama",21342
1600000US0101132,"Alexander City city, Alabama",14705
1600000US0101180,"Alexandria CDP, Alabama",4202
1600000US0101228,"Aliceville city, Alabama",2466
1600000US0101396,"Allgood town, Alabama",606
1600000US0101660,"Altoona town, Alabama",861
1600000US0101708,"Andalusia city, Alabama",8918
1600000US0101756,"Anderson town, Alabama",242
1600000US0101852,"Anniston city, Alabama",22097
1600000US0102116,"Arab city, Alabama",8200
1600000US0102260,"Ardmore town, Alabama",1490
1600000US0102320,"Argo town, Alabama",4191
1600000US0102428,"Ariton town, Alabama",713
1600000US0102500,"Arley town, Alabama",519
1600000US0102836,"Ashford town, Alabama",2209
1600000US0102860,"Ashland town, Alabama",2113
1600000US0102908,"Ashville city, Alabama",2424
1600000US0102956,"Athens city, Alabama",24735
1600000US0103004,"Atmore city, Alabama",9969
1600000US0103028,"Attalla city, Alabama",5884
1600000US0103076,"Auburn city, Alabama",61462
1600000US0103220,"Autaugaville town, Alabama",903
1600000US0103364,"Avon town, Alabama",454
1600000US0103508,"Axis CDP, Alabama",1336
1600000US0103556,"Babbie town, Alabama",554
1600000US0103676,"Baileyton town, Alabama",872
1600000US0103724,"Bakerhill town, Alabama",235
1600000US0103820,"Ballplay CDP, Alabama",1707
1600000US0103940,"Banks town, Alabama",110
1600000US0104660,"Bay Minette city, Alabama",8990
1600000US0104684,"Bayou La Batre city, Alabama",2543
1600000US0104852,"Bear Creek town, Alabama",1185
1600000US0104900,"Beatrice town, Alabama",266
1600000US0104948,"Beaverton town, Alabama",256
1600000US0105140,"Belgreen CDP, Alabama",78
1600000US0105164,"Belk town, Alabama",247
1600000US0105188,"Bellamy CDP, Alabama",469
1600000US0105212,"Belle Fontaine CDP, Alabama",581
1600000US0105692,"Benton town, Alabama",45
1600000US0105932,"Berry town, Alabama",1443
1600000US0105980,"Bessemer city, Alabama",26697
1600000US0106460,"Billingsley town, Alabama",114
1600000US0107000,"Birmingham city, Alabama",212265
1600000US0107120,"Black town, Alabama",165
1600000US0107456,"Blountsville town, Alabama",1750
1600000US0107588,"Blue Ridge CDP, Alabama",1603
1600000US0107672,"Blue Springs town, Alabama",123
1600000US0107912,"Boaz city, Alabama",9580
1600000US0108104,"Boligee town, Alabama",602
1600000US0108248,"Bon Air town, Alabama",100
1600000US0108272,"Bon Secour CDP, Alabama",1078
1600000US0108680,"Boykin CDP, Alabama",136
1600000US0109016,"Brantley town, Alabama",938
1600000US0109064,"Brantleyville CDP, Alabama",1015
1600000US0109136,"Brent city, Alabama",4874
1600000US0109208,"Brewton city, Alabama",5279
1600000US0109328,"Bridgeport city, Alabama",2330
1600000US0109400,"Brighton city, Alabama",2848
1600000US0109424,"Brilliant town, Alabama",980
1600000US0109457,"Bristow Cove CDP, Alabama",762
1600000US0109500,"Brook Highland CDP, Alabama",6748
1600000US0109736,"Brookside town, Alabama",1323
1600000US0109808,"Brookwood town, Alabama",2085
1600000US0109880,"Broomtown CDP, Alabama",151
1600000US0110240,"Brundidge city, Alabama",2205
1600000US0110456,"Bucks CDP, Alabama",49
1600000US0111032,"Butler town, Alabama",2240
1600000US0111416,"Calera city, Alabama",13216
1600000US0111488,"Calvert CDP, Alabama",1101
1600000US0111512,"Camden city, Alabama",2401
1600000US0111680,"Camp Hill town, Alabama",1089
1600000US0112016,"Carbon Hill city, Alabama",1490
1600000US0112040,"Cardiff town, Alabama",45
1600000US0112070,"Carlisle-Rockledge CDP, Alabama",2425
1600000US0112112,"Carlton CDP, Alabama",36
1600000US0112160,"Carolina town, Alabama",343
1600000US0112304,"Carrollton town, Alabama",1039
1600000US0112496,"Castleberry town, Alabama",499
1600000US0112544,"Catherine CDP, Alabama",20
1600000US0112760,"Cedar Bluff town, Alabama",2003
1600000US0113264,"Center Point city, Alabama",16564
1600000US0113648,"Centre city, Alabama",3514
1600000US0113672,"Centreville city, Alabama",2686
1600000US0114008,"Chatom town, Alabama",1077
1600000US0114104,"Chelsea city, Alabama",12199
1600000US0114152,"Cherokee town, Alabama",790
1600000US0114392,"Chickasaw city, Alabama",5889
